date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:06	6976/6976	---M--	200	added ('OK')	font/woff2	etag:%221b40-5f930f4f2e551%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCcYb8td.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCcYb8td.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:07	5512/5512	---M--	200	added ('OK')	font/woff2	etag:%221588-5f930f4f44e44%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCsYb8td.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCsYb8td.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:08	11736/11736	---M--	200	added ('OK')	font/woff2	etag:%222dd8-5f930f4f5e442%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCoYb8td.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCoYb8td.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:08	1548/1548	---M--	200	added ('OK')	font/woff2	etag:%2260c-5f930f4fbf838%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-1967DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-1967DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:08	9692/9692	---M--	200	added ('OK')	font/woff2	etag:%2225dc-5f930f4fa8935%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19a7DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19a7DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:09	15528/15528	---M--	200	added ('OK')	font/woff2	etag:%223ca8-5f930f4f76a7a%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCQYbw.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVi2ZhZI2eCN5jzbjEETS9weq8-33mZGCQYbw.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:09	15180/15180	---M--	200	added ('OK')	font/woff2	etag:%223b4c-5f930f4f90f2e%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19-7DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19-7DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:09	7120/7120	---M--	200	added ('OK')	font/woff2	etag:%221bd0-5f930f4fd977b%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19G7DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19G7DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:09	5696/5696	---M--	200	added ('OK')	font/woff2	etag:%221640-5f930f4ffef52%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-1927DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-1927DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
16:31:11	11816/11816	---M--	200	added ('OK')	font/woff2	etag:%222e28-5f930f501889b%22	http://localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19y7DRs5.woff2	C:/My%20Web%20Sites/BSU-OpenU/localhost/bsu-open%20university/wp-content/fonts/roboto-condensed/ieVl2ZhZI2eCN5jzbjEETS9weq8-19y7DRs5.woff2	(from http://localhost/bsu-open%20university/wp-content/fonts/7efef4c3a9ba1650efe2ea78530dc54a.css)
